weibo_id,user_name,user_link,weibo_content,original,publish_place,publish_time,publish_tool,like_num,retweet_num,comment_num
JtCi8oTM2,再勋,https://weibo.cn/u/3044820255,再勋:医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应 UP主: 燃新闻#bilibili# 医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应 (哔哩哔哩客户端下载 http://t.cn/Ai1eB8sg)  ,True,无,2020-11-12 23:52,哔哩哔哩移动客户端,1,0,0
JtCgm7ugg,海鲜宝贝喵,https://weibo.cn/u/3060706791,"海鲜宝贝喵:医生手术后喝葡萄糖被喷, 本人回应, 网友出手了 医生手术后喝葡萄糖被喷, 本人回应, 网友出手了 http://t.cn/A6GSVtCj  原图 ",True,无,2020-11-12 23:47,UC浏览器Android,0,0,4
JtCeZCQ5J,飞翔的大树l,https://weibo.cn/liyinmumu,飞翔的大树l:【飞翔的大树】近日，一则医生连续4小时手术后，“豪饮”葡萄糖的短视频爆红网络。在网友们纷纷点赞医生辛苦了 医生薅病人的羊毛？医生连续4小时手术后豪饮葡萄被质疑 http://t.cn/A6GScBoB  原图 ,True,无,2020-11-12 23:44,UC浏览器Android,1,0,0
JtCcQ5lvu,健康广东,https://weibo.cn/gdjkjy,健康广东:【关注】手术后喝葡萄糖引质疑！医生回应，网友出手了…【关注】手术后喝葡萄糖引质疑！医生回应，网友出手了…  原图 ,True,无,2020-11-12 23:39,微博 weibo.com,0,1,0
JtC1MbKFM,每日来看新鲜事儿,https://weibo.cn/u/6614014068,每日来看新鲜事儿:手术后喝葡萄糖却引质疑！医生回应，大家也出手了…为理解点赞！#社会新闻# 每日来看新鲜事儿的微博视频  ,True,无,2020-11-12 23:12,微博视频号,59,1,7
JtBVBiEW6,zhaozhengge950,https://weibo.cn/u/7495430308,zhaozhengge950:我在看：【西安一医生手术后喝葡萄糖引质疑！医生回应，网友出手了…】 #跟新浪看热点#  西安一医生手术后喝葡萄糖引质疑！医生回应，网友出手了…  ,True,无,2020-11-12 22:56,新浪新闻客户端,0,0,0
JtBR0p8v6,你嘻真的忙,https://weibo.cn/u/6693923203,你嘻真的忙:医生做完高强度手术喝葡萄糖被质问给钱了吗？我记得很多年前我看到的后续是感叹医生辛苦到今天我看到的是不可置信的刻薄这个社会怎么了  ,True,无,2020-11-12 22:45,妈妈送的iPhone 11,1,0,0
JtBO73sY5,泡泡Pisces,https://weibo.cn/yinyue1210,泡泡Pisces:【医生手术后喝葡萄糖水遭质疑，回应: 算进科室支出…】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的  http://t.cn/A6GiPwv9 #秦昊问伊能静快递有他几件# ,True,无,2020-11-12 22:38,无,98,4,34
JtBLvFL0M,金银滩回忆,https://weibo.cn/u/7518463457,"转发理由:【医生回应手术后喝葡萄糖：算进科室支出】近日，他在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。家里有同款医生，有一次手术时间太长低血糖，手术后晕倒在地，请多给他们一些理解  
原始用户: 中国经济网
转发内容: 【医生回应手术后喝葡萄糖：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。面对质疑，该医生作出澄清。当天他在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。（燃新闻）http://t.cn/A6G6T03F ",False,无,2020-11-12 22:31,HUAWEI P20,1,0,0
JtBCtsTD1,最后一支多巴胺,https://weibo.cn/liulangfan,最后一支多巴胺:抢救结束后他已经满头大汗了后背还有一些黏糊糊的感觉能量的急剧消耗让胃部首先有了反应接着心跳加快肢体也开始难以支撑了眼前也开始模糊起来他知道这是来自身体最忠实的抗议低血糖了来一瓶葡萄糖畅饮吧虽然唾手可得同事也已暖心为他剪开但他却犹豫了万一被有心人拍摄下来就要成风口浪尖了比如有人会说喂，你们喝葡萄糖，算病人帐上吗虽然都是科室成本平均下来自己付款但解释起来总是很麻烦他该怎么办要不要喝下去#医生回应手术后喝葡萄糖水# 原图 ,True,无,2020-11-12 22:09,微博 weibo.com,292,15,62
JtAXz00uX,头条新闻,https://weibo.cn/breakingnews,头条新闻:【医生手术后豪饮葡萄糖，遭质疑：给钱了吗？】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”“掏钱了吗”↓↓据悉，医生凌晨4点刚下手术台，由于手术中途不能喝水，嗓子都快冒烟了，加上又饿又累，就直接喝了一瓶含量5%的葡萄糖水↓↓面对质疑和这瓶水钱医生这样解释>>http://t.cn/A6GaFyCv ,True,无,2020-11-12 20:28,微博发布平台专业版,7079,127,680
JtANpifnl,大连新闻网,https://weibo.cn/dlxww,大连新闻网:【#医生手术后喝葡萄糖水遭质疑# 回应：算进科室支出】#医生回应手术后喝葡萄糖水#近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。@N视频  http://t.cn/A6GiPwv9 ,True,无,2020-11-12 20:03,iPhone客户端,0,0,0
JtAK5jDFd,抚州临川发布,https://weibo.cn/u/3567412270,抚州临川发布:【#医生回应手术后喝葡萄糖水被质疑#：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。@N视频 http://t.cn/A6GiPwv9 ,True,无,2020-11-12 19:55,微博视频号,0,0,0
