微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgWUjc7rE,https://weibo.cn/comment/KgWUjc7rE?uid=1297646225&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 我们1班王悦微
转发内容: 今天学生交上来的周记里写到了袁隆平和吴孟超老先生。他们会被一代代的中国人记住，永远留在我们共同的民族记忆里。  [组图共3张] 原图 ",False,无,2021-05-24 15:11 ,HUAWEI Mate 10,0,0,0
KgWfJ5hRc,https://weibo.cn/comment/KgWfJ5hRc?uid=1297646225&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 参考消息
转发内容: 【再听一遍《我的祖国》吧】“一条大河波浪宽，风吹稻花香两岸……为了开辟新天地，唤醒了沉睡的高山，让那河流改变了模样……这是美丽的祖国，是我生长的地方，在这片辽阔的土地上，到处都有明媚的风光……” #袁隆平离世前家人唱我的祖国# 参考消息的微博视频  ",False,无,2021-05-24 13:31 ,HUAWEI Mate 10,0,0,0
KgVU71Upc,https://weibo.cn/comment/KgVU71Upc?uid=1297646225&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 胜利主义章北海
转发内容: 上一条微博发了这个图，反响意外的好。很多人以为是恰饭，其实真不是。但用这个搞个抽奖，很多人应该会喜欢吧？那就走一波呗。转发加关注，抽三件。   抽奖详情  原图 ",False,无,2021-05-24 12:38 ,HUAWEI Mate 10,0,0,0
KgV1F3cZv,https://weibo.cn/comment/KgV1F3cZv?uid=1297646225&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 风闻社区
转发内容: “青年定当不负您所望”#袁隆平遗体送别仪式#  原图 ",False,无,2021-05-24 10:24 ,HUAWEI Mate 10,0,0,0
KgUkXoksw,https://weibo.cn/comment/KgUkXoksw?uid=1297646225&rl=0#cmtfrm,"转发理由://@涡轮喷气蛋:转发微博  
原始用户: 火星叔叔郑永春
转发内容: #袁隆平逝世# 真接地气！朋友发来袁老满口重庆土话的二则趣事：转竹下先生文《袁隆平老师交往一二事》        出席全国政协常委会期间，住宿安排在“京西宾馆”，与会人数不算多，有幸与袁隆平先生结识。他身材瘦削，面容有些枯槁，但眼光炯炯，中气尚足语速快，平常话语中从其口中说出，往往有惊人之处。        用餐时，他盘中常常是一荤三素，总有少许鲜油红色“老干妈”辣豆豉作点缀。我们时常互相招呼就近入座，位置总选在边边角角处。“袁院士，多拈点好吃的，你工作繁忙营养要跟上嘛”，“小老乡，别扣这些大帽子，就叫我老袁，袁老师”。从不见他找中间突出席位（俗称上席）就坐，他边刨饭，边低声说“那些地头是那几个好出风头的名演员包了的，吃各人的几颗饭，争一伙没意思，这些边角位子清静开胃口。        这天晚上，大会安排大家到街对面的“梅迪亚中心”中央电视台彩排厅，观赏文艺演出。在附近绿树成萌小道边，与袁先生不期而遇。离入场时间还早，我们就边散步，边用重庆话摆起了龙门阵。他说重庆直辖以来变化硬是大得嚇人，西农大和西师大联手成为西南大学后真的上了新的档次。“袁老师，这回校庆返母校，感觉啷个？”那还用说，搞得闹热得很。”他凑近我耳边，说了句你简直想不到的话，”这盘啥子都搞得不错，就是他几爷子想得出来，给我塑了个像。不该花冤枉钱花了那么多不说，唉唉，把我塑成象个鸦片烟鬼！”  入场口方向，几个化了装的小演员从身边走过。我转换话题，笑着说：“袁老师，今晚上，要不你也登台表演个节目？”他脸上泛出笑容，“我晓得你娃儿想说啥子话。哪个吹我会拉小提琴嘛。二胡我倒是会拉几个曲子。报社那几个崽儿想笼我，说啥子大人物都是多才多艺，硬叫我用小提琴拉“喜洋洋”，说中西结合出成果。摄了像就爬起来跑了，生怕我敲他几娘母磕转……       注：泣闻袁院士病逝，回忆以上一二小事，谨以此致哀。        2021.5.22  20：28                     ",False,无,2021-05-24 08:39 ,HUAWEI Mate 10,0,0,0
KgUj6fpjR,https://weibo.cn/comment/KgUj6fpjR?uid=1297646225&rl=0#cmtfrm,"转发理由://@专吃氢弹高校学生自知联合会:哦？邪教等境外势力，就一句话也不能信，全她🐴栽赃  
原始用户: 海港SirHabaSir
转发内容: 爆眼女沒有爆眼 屈警察徹頭徹尾的陰謀，所有支持暴眼女都是傻子，都欠警察一個道歉，同時要全球通緝暴眼女。#祖国反黑站[超话]##大佬我们支持你[超话]#  原图 ",False,无,2021-05-24 08:34 ,HUAWEI Mate 10,0,0,0
KgQeS86bC,https://weibo.cn/comment/KgQeS86bC?uid=1297646225&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 神嘛事儿
转发内容: 今天我吃饭，点的东西都很慎重，全部吃完，昨天我在琢磨一个问题，很多人纪念袁老师，各种形式，我觉得作为普通市民最好的纪念或者说尊敬方式就是你吃多少点多少不要浪费，实质大于形式最好的方式就这个，不然农民辛辛苦苦把东西弄出来，一帮人吃不完，也不尊重人家的劳动成果，就算你买了单付了钱感觉也不对                     ",False,无,2021-05-23 22:13,HUAWEI Mate 10,0,0,0
KgQd82tdg,https://weibo.cn/comment/KgQd82tdg?uid=1297646225&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 新华社
转发内容: 【此刻，我们#一起回顾袁隆平的最后理想#】生前，袁隆平院士接受新华社记者采访时说，我国有15亿亩荒芜的盐碱地，其中约2亿亩可进行稻作改良。他当时告诉记者：“我认为，在中国实现耐盐碱水稻种植1亿亩的目标，前景很美好。”那些温暖的话语、坚定的承诺，永远激励着我们前行！（记者丁铭、张晟、恩浩、朱文哲）#这颗星永远不会陨落#  新华社的微博视频                     ",False,无,2021-05-23 22:08,HUAWEI Mate 10,0,0,0
KgPNJlGv6,https://weibo.cn/comment/KgPNJlGv6?uid=1297646225&rl=0#cmtfrm,"转发理由:然而，哪怕是这样的出身，在时代的冲击下，扎根在祖国仍然大展宏图。不知道在美国贡献自己青春的人，如何了？受到美国人尊重了吗？  
原始用户: 一个院长的思考
转发内容: 操@美国MD安德森癌症中心张玉蛟教授 祖宗十八代，天底下哪有像你这样悼念袁隆平院士的？  原图 ",False,无,2021-05-23 21:06,微博 weibo.com,0,1,0
KgOTW2jIx,https://weibo.cn/comment/KgOTW2jIx?uid=1297646225&rl=0#cmtfrm,"转发理由://@某落拓少年:老师的这副画表达了我的一部分感受，画里袁爷爷像是欣慰地看向年轻时的自己，也是期待看向现在年轻的我们。伟人逝去，国有疑难可问谁？就好像离开族群庇护的刚成年的动物，我才意识到我们肩上的使命有多重，马上要轮到我们去守卫这一片土地了，我能回应您的期待吗？  
原始用户: 乌合麒麟
转发内容: 让每个人都能吃饱饭，是中国人的信仰深切缅怀袁隆平院士 无水印大图已经上传置顶微博网盘，大家随意下载。  原图 ",False,无,2021-05-23 18:48,HUAWEI Mate 10,0,0,0
