微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgXk6b0sc,https://weibo.cn/comment/KgXk6b0sc?uid=1686546714&rl=0#cmtfrm,【#印度一村庄数百人聚集领新冠神药# ，当地政府叫停】据“今日印度”等印媒23日报道，近日，印度安得拉邦一村庄内数百人无视疫情规定，聚集在一起，领取一种可以治疗新冠的神奇药物。报道称，自本月初以来，一名自称了解印度草药医学的医生阿南德一直在准备和分发药物。阿南德声称他的药物是治疗新冠的有效药物。报道称，阿南德没有接受过任何专业培训，自称凭借“经验”制造出该药。尽管没有科学证据表明这种药物有效，现场视频显示，民众排着长队，拥挤在一起等待领取药物。报道称，当地相关部门已派遣医疗官前往视察，并针对相关情况提交报告。一名区巡查员称，“人们一直以来这么做的原因是他们相信这种药物能起作用，并且到目前为止，还没有该药物起到负面疗效的报告。”据报道，目前，安得拉邦政府已经叫停该药物的分发。地区医疗卫生办公室的医生表示，在疫情封锁期间的举行大规模集会，人们拥挤在一起，新冠病毒有进一步传播的风险。根据印度卫生部门24日公布的最新数据，过去24小时内，印度新增新冠确诊病例222315例，累计确诊达26752447例；新增死亡病例4454例，累计死亡303720例。@环视频  环视频的秒拍视频                                 ,True,无,2021-05-24 16:14,微博视频号,21,2,11
KgXeKfbM7,https://weibo.cn/comment/KgXeKfbM7?uid=1686546714&rl=0#cmtfrm,【印度卡纳塔克邦大批村民聚集参加一匹马的葬礼，当地政府封锁该村】据印度媒体Now news报道，当地时间5月22日，在印度卡纳塔克邦一座名叫马拉迪马斯的村庄，大批民众参加了一匹“神马”的葬礼。在当前印度严峻的疫情下，村庄所属的贝拉加维政府事后对该村进行了封锁。#印度一邦大批村民参加一匹马的葬礼# 报道称这匹马于5月21日晚死亡，第二天举办了葬礼。在视频中可以看到，死去的马躺在地上，身上放满花环。大批民众在街头聚集行走。上周，村民们将这匹马放掉以祈祷摆脱新冠病毒的感染，然而这只马在村子里吃了两天草之后，在周五死去，村民周六为它举行了火葬仪式。这次聚集活动的视频在社交媒体上广泛传播后引起了当地政府的注意，政府随即封锁了这座由400户居民组成的小村庄。根据印度卫生部门24日公布的最新数据，过去24小时内，印度新增新冠确诊病例222315例，累计确诊达26752447例；新增死亡病例4454例，累计死亡303720例。  @环视频  环视频的微博视频                                 ,True,无,2021-05-24 16:01,微博视频号,55,1,17
KgXaY1jwt,https://weibo.cn/comment/KgXaY1jwt?uid=1686546714&rl=0#cmtfrm,【机智！#小伙身陷传销组织手指写110获救#】近日，市民小可到西安见网友，结果身陷传销组织。对方以生病为由从其父母那里骗取8万元，并带他到银行取钱。柜台前，小可把110写在左手中指上贴在玻璃上敲打，工作人员看到后将小可身份证银行卡扣了下来，并立即报警。@看看新闻KNEWS 看看新闻KNEWS的秒拍视频                                  ,True,无,2021-05-24 15:52,微博视频号,168,6,17
KgWW8llTt,https://weibo.cn/comment/KgWW8llTt?uid=1686546714&rl=0#cmtfrm,【#我国新冠疫苗接种超5亿剂次#】截至2021年5月23日，31个省（区、市）及新疆生产建设兵团累计报告接种新冠病毒疫苗51085.8万剂次。 (人民日报)  原图 ,True,无,2021-05-24 15:16,无,116,8,27
KgWIGwYxf,https://weibo.cn/comment/KgWIGwYxf?uid=1686546714&rl=0#cmtfrm,【消息人士：五角大楼不顾外交礼仪无视中方“防长通话”提议，既不专业也不友好】针对英国《金融时报》有关美国防长奥斯汀三次提出与中国中央军委领导人对话遭中方拒绝的报道，有消息人士24日对《环球时报》表示，中方在奥斯汀上任之际就发出两国防长在方便时候进行通话的友善信号，但美方一直没有回应，后又转而提出与军委其他领导人会面，这种不顾及外交礼仪和国际惯例的做法既不专业也不友好。此前《金融时报》报道称，奥斯汀已三次提出与中共中央政治局委员、中央军委副主席许其亮对话，但中国拒绝互动。报道引述美国匿名国防部官员的讲话内容称，“中国军方一直没有回应”。报道宣称，在两军紧张关系加剧之时，中方拒绝五角大楼的高层对话要求使双边关系复杂化。24日，消息人士告诉《环球时报》，该报道不真实，报道中援引知情人士的内容并不准确。这位消息人士进一步表示，中方一贯重视中美两国、两军关系，高度重视两国防务部门和军队领导人之间的沟通和交流。美国防长奥斯汀上任之际，中方通过军事外交渠道发出贺信，表达愿与美方接触交流，管控风险挑战，发展两军关系的积极意愿。中方也提议两国防长在方便的时候进行通话，释放了发展两军关系、加强战略沟通的信号。但美方无视中方的善意和诚意，也没有顾及外交礼仪和国际惯例，对中方发出的贺信一直没有回应，转而提出来和军委其他领导人通话，这种做法既不专业也不友好。该消息人士称，现在美方通过媒体释放不准确的信息，把两军领导人迄今没有通话责任推给中方的做法是不负责任的。美方总想处于优势地位和中方打交道，故意为两军关系发展设置前提条件。中方一贯强调相互尊重、合作共赢是两国相处之道，只要美方能秉承这一原则，中美两军各层面的沟通和对话都是畅通的。                  原图                             ,True,无,2021-05-24 14:43,无,311,15,59
KgWyf6FJN,https://weibo.cn/comment/KgWyf6FJN?uid=1686546714&rl=0#cmtfrm,【连续10天超百例！#台湾新增334例本土确诊病例#，新增6例死亡病例】台湾地区流行疫情指挥中心今日（24日）公布，台湾新增339例新冠肺炎确诊病例，分别为334例本土病例及5例境外移入病例，另有校正回归本土病例256例，总计595例。确诊病例中新增6例死亡。指挥中心表示，今日新增的334例本土病例，为157例男性、177例女性，年龄介于未满5岁至80多岁，发病日介于今(2021)年5月10日至5月23日。病例分布以新北市177例最多(以板桥区43例为多)，其次为台北市99例(以万华区38例为多)，桃园市19例、彰化县12例、基隆市及台中市各7例、高雄市5例、屏东县及台南市各3例、南投县及新竹县各1例。校正回归个案256例中，为157例男性、99例女性，年龄介于未满5岁至90多岁，发病日介于5月14日至5月22日；个案分布以台北市148例最多(以万华区76例为多)，其次为新北市99例(以板桥区34例为多)，桃园市6例、苗栗县2例、台中市1例。综上所有个案，其中万华活动史相关200例、茶艺馆相关34例、某社团相关6例、某水果商相关6例、其他已知感染源138例、关联不明101例、疫调中105例。相关疫情调查持续进行中。                  原图                             ,True,无,2021-05-24 14:17 ,微博 weibo.com,6625,129,659
KgWlX04ZX,https://weibo.cn/comment/KgWlX04ZX?uid=1686546714&rl=0#cmtfrm,【大陆疫苗可以先让陆配陆生试试？#台空军前副司令言论挨批#，岛内网友：枉为人！】台湾疫情近日持续加剧，国台办近日表示愿尽最大努力帮助台胞尽快战胜疫情。然而陆委会却反称大陆善意为“假好心”。对此，台湾名嘴赵少康在5月22日的政论节目中直批陆委会“鸡肠狗肚”，“胸襟非常小”。不料身旁的嘉宾张延廷突然发表争议言论，声称可以先找陆配和大陆在台学生试试看疫苗。惹得台网友留言批他“真的是枉为人也”。#台空军前副司令称大陆疫苗可以先让陆配陆生试试# 节目里，赵少康在提到国台办愿帮台湾战胜疫情却被陆委会称为“假好心”时称，“陆委会讲了好几次，疫情结束以后希望跟两岸恢复对话，那你这样就能恢复对话？你根本没有真的要恢复对话。”赵少康称，陆委会真的是“鸡肠狗肚，胸襟真的非常小”。 台空军前副司令张延廷随后称，对于大陆提供帮助，可以由医学界来鉴定大陆疫苗是否能够施打，“如果有帮助那为什么要拒绝？”张延廷后面的话令人瞠目结舌。他称疫苗只要对健康、对防疫有帮助就可以试试看，随后更直接声称“我们可以找一部分人试试看，在台湾有陆配，有陆生，有大陆的学生在这边读书，是不是请他们试一试，我认为也可以”。 在台湾互联网上，张延廷的言论被认为是让陆配、陆生先“试药”。有人附和他的观点，但也有人直言，“真的是枉为人也” 有网友评论道：“这位来宾说法也过份了吧，信不过就别进呀，没人逼你接受人家的疫苗。你自己需要进了还想用陆配和陆生帮你测试，真的是枉为人也。我虽一介女流、以你为耻。赵先生身为资深主持人，竟然放任来宾这种言论，实在令人失望” 还有网友称：“张延廷居然讲得出找陆配试药的话，其心可诛，真的怀疑其如何升任将军？难道当年高呼‘大帅哥’的有他？国军都是这等货色，解放军不必手软，除恶务尽。” 环视频的微博视频                                 ,True,无,2021-05-24 13:47 ,微博视频号,737,38,249
KgWdRxVpe,https://weibo.cn/comment/KgWdRxVpe?uid=1686546714&rl=0#cmtfrm,【#女子被骗22万后绝地反杀引诱骗子回国#】去年，江苏苏州41岁王女士在网上结识了一名男子，被对方推荐的投资平台骗了22万元。王女士心有不甘，跟对方聊了近8个月。今年5月，骗子吴某赶到常熟见王女士时被抓。原来，吴某在东南亚从事电信诈骗，得手后见王女士长得漂亮没舍得删除。目前，吴某已被刑拘。江苏新闻的微博视频                                 ,True,无,2021-05-24 13:27 ,微博视频号,355,15,34
KgW8Q7ddF,https://weibo.cn/comment/KgW8Q7ddF?uid=1686546714&rl=0#cmtfrm,【吴老走了，“吴孟超星”亦在天幕熠熠生辉！ 】#吴孟超灵堂放的是国际歌#23日，阴雨之下，“中国肝胆外科之父”吴孟超院士的追悼会在上海东方肝胆医院举行。多位上海市民自发冒雨前来吊唁，吴老生前同事好友以及众多学生纷纷表达追思之意。追悼会上，吴孟超院士的灵堂响起的是《国际歌》。吴老的学生说，吴老的精神影响了一代代肝胆人，“吴老永远是我心中的明星和前行的灯塔。”2011年5月3日，第17606号小行星经国际组织审核批准，被永久命名为“吴孟超星”。楚天都市报极目新闻的微博视频 @楚天都市报极目新闻                                 ,True,无,2021-05-24 13:14 ,微博视频号,1361,131,109
KgVP4sk0M,https://weibo.cn/comment/KgVP4sk0M?uid=1686546714&rl=0#cmtfrm,#成都姑娘用易拉罐还原华妃头饰# 【成都姑娘用易拉罐做华妃头饰：曾在牛津演讲，作品登上米兰时装周】5月23日，四川成都，手艺人雁鸿应粉丝要求，用易拉罐神还原电视剧《甄嬛传》中的华妃头饰惊艳众人。雁鸿曾是一名护士，后来辞职专心做手工，她的作品曾登上过米兰时装周。雁鸿团队4人耗时十多天，用了不到10个易拉罐神还原了华妃的头饰，她希望未来可以创建品牌更好地推广传统服饰文化。 漩涡视频的微博视频                                 ,True,无,2021-05-24 12:26 ,微博视频号,746,32,52
